colnam,colval,locale_id,lngdsc,short_dsc,grp_nam
rpt_id,Lc-CarrierAddressDetails,EN-GB,"Transbridge Carrier Report","Trans Rep",dscmst_rpt_id
rpt_id,Lc-RsInventoryDetails,EN-GB,"RS Customer Report","RS Rep",dscmst_rpt_id
rpt_id,Lc-SfInventoryDetails,EN-GB,"Screwfix Customer Report","Screwfix Rep",dscmst_rpt_id
rpt_id,Lc-WksInventoryDetails,EN-GB,"Wickes Customer Report","Wickes Rep",dscmst_rpt_id
rpt_id,Lc-DgNotes,EN-GB,"Dangerous Goods Report","DG Rep",dscmst_rpt_id
rpt_id,Lc-CarrierAddressDetails,US_ENGLISH,"Transbridge Carrier Report","Trans Rep",dscmst_rpt_id
rpt_id,Lc-RsInventoryDetails,US_ENGLISH,"RS Customer Report","RS Rep",dscmst_rpt_id
rpt_id,Lc-SfInventoryDetails,US_ENGLISH,"Screwfix Customer Report","Screwfix Rep",dscmst_rpt_id
rpt_id,Lc-WksInventoryDetails,US_ENGLISH,"Wickes Customer Report","Wickes Rep",dscmst_rpt_id
rpt_id,Lc-DgNotes,US_ENGLISH,"Dangerous Goods Report","DG Rep",dscmst_rpt_id
